12	2.59E-126
13	1.0784E-99
14	2.8961E-80
15	3.28805E-65
16	1.98585E-53
17	3.18981E-44
18	7.9238E-37
19	8.32019E-31
20	7.14115E-26
21	8.09933E-22
22	2.2581E-18
23	1.67572E-15
24	4.9449E-13
25	5.80368E-11
26	3.66162E-09
27	1.19338E-07
28	2.9924E-06
29	0.0000404
30	0.00042
31	0.0032038
32	0.0197567
33	0.097418
34	0.4087699
35	1.443125
36	4.480781
37	12.20748
38	30.45188
39	68.07189
40	142.9759
41	275.355
42	505.1578
43	871.4504
44	1439.206
45	2234.123
46	3394.639
47	4934.152
48	6993.77
49	9561.044
50	12739.88
51	16611.03
52	20813.04
53	26092.79
54	31985.52
55	39073.69
56	45866.67
57	53845.25
58	199042.7
59	346186.5
60	81651.59
61	91772.53
62	101345.5
63	111462.1
64	123088.4
65	132472
66	143111.2
67	401170.1
68	162791.7
69	252949.9
70	173535.9
71	179880.2
72	190190.3
73	198594.7
74	206514.4
75	214379.3
76	220701.9
77	227384
78	233652.9
79	238716.3
80	243355.9
81	247547
82	251939.6
83	255140.6
84	256546
85	258617.1
86	260229.1
87	261338.4
88	261737.9
89	261072.2
90	260698.9
91	258731.5
92	257595.9
93	254822.5
94	251922.3
95	249301
96	245150.8
97	240684.6
98	236142.4
99	231357.7
100	226773.6
101	220871.8
102	214445.1
103	208014
104	201231.3
105	193851.9
106	186305.9
107	178262.3
108	169263.8
109	160292.3
110	151246.8
111	141794
112	131625.2
113	121245.6
114	108817.4
115	96923.64
116	84798.81
117	72376.44
118	54064.06
119	26984.89
120	0
